ID,Area,x_center_of_gravity,y_center_of_gravity,Perimeter
1,0.004,9415,9025,8.0
2,0.004,9409,9019,8.0
3,0.004,9424,9016,8.0
4,0.004,9289,9007,8.0
5,0.02,9410,9004,18.0
6,0.02,11417,8986,18.0
7,0.02,9461,8983,18.0
8,0.02,9296,8983,18.0
9,0.122,11265,8982,45.313708424568176
10,0.032,7522,8974,24.0
11,0.004,13414,8971,8.0
12,0.004,11269,8968,8.0
13,0.02,13393,8966,18.0
14,0.02,11407,8966,18.0
15,0.02,2992,8963,18.0
16,0.02,7301,8962,18.0
17,0.004,13387,8956,8.0
18,0.02,13444,8954,18.0
19,0.004,13444,8935,8.0
20,0.004,2797,8935,8.0
21,0.032,13444,8926,24.0
22,0.004,13360,8920,8.0
23,0.004,2635,8920,8.0
24,5.0365,13395,8988,740.3746688365936
25,0.0805,13371,8889,35.899494767189026
26,0.047,13379,8882,25.656854152679443
27,0.004,2755,8875,8.0
28,0.02,11344,8870,18.0
29,0.02,9367,8858,18.0
30,0.066,9361,8864,46.82842707633972
31,0.032,9409,8854,24.0
32,0.0575,11351,8853,29.071067571640015
33,0.004,9361,8848,8.0
34,0.004,2656,8848,8.0
35,0.02,11302,8846,18.0
36,0.004,9409,8845,8.0
37,0.032,11374,8839,24.0
38,0.02,13375,8834,18.0
39,8.4725,9382,8939,762.5756800174713
40,0.004,11374,8827,8.0
41,0.004,11365,8818,8.0
42,0.004,11368,8809,8.0
43,0.129,9365,8821,73.31370806694031
44,0.08,9406,8815,48.0
45,0.044,9366,8797,25.656854152679443
46,0.02,11374,8792,18.0
47,0.044,11311,8789,30.0
48,0.1375,9407,8788,54.72792172431946
49,0.02,11369,8779,18.0
50,0.004,9376,8776,8.0
51,0.004,11371,8770,8.0
52,0.004,11335,8761,8.0
53,0.004,7438,8755,8.0
54,0.104,11314,8764,60.0
55,0.004,11365,8749,8.0
56,0.004,11314,8743,8.0
57,0.004,11314,8731,8.0
58,0.02,11315,8722,18.0
59,0.0455,11371,8718,28.242640614509583
60,0.2945,9366,8747,143.07106757164001
61,0.0335,11316,8712,22.242640614509583
62,0.004,5293,8707,8.0
63,0.004,2734,8701,8.0
64,0.004,5248,8680,8.0
65,0.1895,11370,8682,86.87005722522736
66,0.02,9373,8669,18.0
67,0.004,5284,8623,8.0
68,0.004,5272,8623,8.0
69,14.77,11337,8902,1429.955401301384
70,0.004,11320,8614,8.0
71,0.004,5284,8608,8.0
72,0.044,5269,8603,30.0
73,0.004,5278,8596,8.0
74,0.094,11321,8599,47.31370806694031
75,0.004,5272,8587,8.0
76,0.02,5282,8587,18.0
77,0.097,11321,8577,48.97056245803833
78,0.1915,7423,8578,67.35533809661865
79,0.004,11329,8566,8.0
80,0.004,11323,8566,8.0
81,0.0335,7377,8568,22.242640614509583
82,0.0335,7428,8562,22.242640614509583
83,0.004,7420,8560,8.0
84,0.02,7435,8546,18.0
85,0.02,5269,8543,18.0
86,0.179,7425,8541,64.97056198120117
87,0.2245,11324,8541,83.69848430156708
88,0.1745,7413,8535,73.5563485622406
89,0.004,7417,8515,8.0
90,0.104,7435,8524,60.0
91,0.02,11323,8510,18.0
92,0.004,5275,8509,8.0
93,0.004,7420,8503,8.0
94,0.047,5273,8501,25.656854152679443
95,0.004,7420,8494,8.0
96,0.1,7410,8499,39.3137081861496
97,0.02,5273,8494,18.0
98,0.004,11329,8488,8.0
99,0.004,11323,8485,8.0
100,0.004,11329,8482,8.0
101,0.004,7420,8479,8.0
102,0.02,7418,8470,18.0
103,0.5515,7429,8484,199.0121921300888
104,0.08,7419,8458,38.485280990600586
105,16.592,5269,8822,1506.8183205127716
106,0.004,7414,8410,8.0
107,0.5365,7426,8429,168.18376541137695
108,0.008,7418,8393,18.82842707633972
109,0.0815,7427,8394,41.899494647979736
110,0.004,7420,8371,8.0
111,0.1905,7426,8373,88.87005710601807
112,0.004,11320,8347,8.0
113,0.042,7418,8345,34.82842707633972
114,0.047,7427,8336,25.656854152679443
115,0.004,7417,8326,8.0
116,0.0385,7427,8321,31.071067690849304
117,0.179,7424,8301,75.79898929595947
118,0.1025,7418,8266,47.071067571640015
119,0.004,7420,8251,8.0
120,0.032,7384,8182,24.0
121,0.004,7384,8152,8.0
122,0.0675,7400,8147,45.071067690849304
123,0.004,7402,8134,8.0
124,1.6115,7425,8178,472.6934313774109
125,0.004,5266,8089,8.0
126,0.1715,7426,8074,67.5563485622406
127,0.1505,7426,8052,47.899494767189026
128,0.0695,5265,8042,40.24264061450958
129,35.2555,7401,8731,2967.065132021904
130,0.281,7394,7980,115.94112455844879
131,0.047,7397,7961,25.656854152679443
132,0.008,7397,7952,18.82842707633972
133,0.044,7390,7943,30.0
134,0.082,7397,7938,39.3137081861496
135,0.0335,7395,7920,22.242640614509583
136,0.078,7390,7894,52.82842707633972
137,0.068,7400,7867,31.656854152679443
138,0.0905,7396,7839,41.071067690849304
139,0.0955,7396,7819,47.899494767189026
140,0.02,7393,7805,18.0
141,0.02,7399,7787,18.0
142,0.02,7393,7727,18.0
143,0.0845,7395,7707,37.5563485622406
144,0.08,7398,7645,38.485280990600586
145,0.058,7396,7623,31.656854152679443
146,0.004,7396,7615,8.0
147,0.004,7393,7603,8.0
148,0.02,7399,7589,18.0
149,0.004,7393,7588,8.0
150,0.047,7391,7574,25.656854152679443
151,0.02,7405,7559,18.0
152,0.073,7404,7545,46.485281229019165
153,0.092,7405,7520,54.0
154,0.256,7399,7486,98.7695517539978
155,0.004,7405,7462,8.0
156,0.054,7397,7462,40.82842707633972
157,0.032,7405,7453,24.0
158,0.02,7405,7436,18.0
159,0.0575,7396,7421,29.071067571640015
160,0.004,7405,7411,8.0
161,0.233,7398,7388,81.11269748210907
162,0.032,7402,7360,24.0
163,0.004,7396,7333,8.0
164,0.131,7397,7265,49.65685415267944
165,0.0955,7393,7225,56.72792172431946
166,0.02,7393,7208,18.0
167,0.004,7402,7162,8.0
168,0.004,2707,6835,8.0
169,0.02,2707,6815,18.0
170,0.044,2707,6704,30.0
171,0.056,2707,6685,36.0
172,0.004,2707,6586,8.0
173,0.004,2707,6574,8.0
174,0.004,2707,6568,8.0
175,0.02,2707,6218,18.0
176,0.004,2704,5971,8.0
177,0.02,2707,5462,18.0
178,97.5875,2707,7841,7884.69759619236
179,0.164,2713,5321,90.0
180,0.068,2713,5279,42.0
181,0.0335,2712,5260,22.242640614509583
182,0.02,2725,5240,18.0
183,0.548,2713,5183,282.0
184,0.004,2704,4747,8.0
185,0.004,2704,4648,8.0
186,0.02,2704,4637,18.0
187,0.032,2704,4624,24.0
188,0.104,2704,4597,60.0
189,0.02,2710,4235,18.0
190,0.0335,2719,3399,22.242640614509583
191,154324.229,7418,5216,104081.4891988039
